occ,delta_e_2023,delta_DAIOE_2023,pctl_new_2023
19-1023.00,0.4493779935661942,0.20194058110157845,56.89119170984456
19-1029.01,0.5458234868612035,0.2979232788093224,80.82901554404145
19-1029.02,0.5281571616125337,0.278949987362608,74.71502590673575
19-1029.03,0.536000838540373,0.2872968989159829,77.30569948186529
19-1031.01,0.4217442865958968,0.17786824327628195,51.50259067357513
19-1031.02,0.41069691696275096,0.16867195760270876,49.94818652849741
19-1031.03,0.41141585622757215,0.16926300675546632,50.05181347150259
19-1032.00,0.3901357265543459,0.15220588513408737,44.97409326424871
19-1041.00,0.5778238349768113,0.3338803842673093,94.09326424870466
19-1042.00,0.561983674612822,0.31582565053133016,87.25388601036269
19-2011.00,0.53559053155611,0.2868572174925565,77.20207253886011
19-2012.00,0.5557842139901182,0.30889609252061356,85.18134715025907
19-2021.00,0.5653485562012533,0.3196189899988417,88.80829015544042
19-2031.00,0.46352383254774754,0.2148543433397523,59.58549222797927
19-2032.00,0.5110294746838593,0.2611511239956612,70.05181347150258
19-2041.00,0.5119233500803488,0.26206551635748737,70.36269430051813
19-2041.01,0.5765884946825305,0.3324542922002665,93.57512953367876
19-2041.02,0.44365542405638503,0.19683013529465082,55.33678756476684
19-2041.03,0.5631032321482082,0.3170852500557589,87.97927461139896
19-2042.00,0.49774008509405765,0.24774519230943975,67.15025906735751
19-2043.00,0.4730263248133895,0.22375390396646228,61.45077720207254
19-2099.01,0.5309851946022135,0.28194527688675053,75.5440414507772
19-3011.00,0.5764585900204688,0.33230450600838696,93.47150259067358
19-3011.01,0.5494524854598687,0.3018980337780272,82.48704663212435
19-3022.00,0.5522529935790693,0.3049833689170436,83.62694300518135
19-3031.01,0.5872518646762026,0.344864752565677,95.33678756476684
19-3031.02,0.6210226525720997,0.3856691350076868,99.58549222797927
19-3031.03,0.6139518217796933,0.37693683946660433,98.860103626943
19-3032.00,0.5835810600173642,0.3405668536109904,94.92227979274611
19-3039.01,0.5883533686222845,0.34615968636918976,95.5440414507772
19-3041.00,0.6202426704772581,0.3847009702807606,99.48186528497409
19-3051.00,0.538752796441736,0.29025457567379065,78.75647668393782
19-3091.01,0.5964150975271965,0.35571096855837525,96.89119170984456
19-3091.02,0.46278566955483436,0.21417057594531633,59.27461139896373
19-3092.00,0.5725470295149819,0.3278101010064296,91.29533678756476
19-3093.00,0.6130807799648227,0.3758680427622753,98.75647668393782
19-3094.00,0.6166741235999896,0.3802869747178153,99.27461139896373
19-3099.01,0.5414496880275214,0.2931677646651002,79.48186528497409
19-4011.01,0.3583376231935331,0.1284058521959905,39.89637305699482
19-4011.02,0.42714791544794395,0.18245534167152389,52.538860103626945
19-4021.00,0.4341885777416476,0.18851972104131476,53.575129533678755
19-4031.00,0.4054252893876108,0.16436966527502797,48.601036269430054
19-4041.01,0.4458463896523891,0.19877900316606997,56.06217616580311
19-4041.02,0.370509231871321,0.13727709090187631,41.76165803108808
19-4051.01,0.3808258455868978,0.14502832466697574,43.73056994818653
19-4051.02,0.4282947809991146,0.18343641943107955,52.95336787564767
19-4061.00,0.5205563828545842,0.2709789477306484,72.33160621761658
19-4061.01,0.5302811807671941,0.2811981306758496,75.33678756476684
19-4091.00,0.39035795892650393,0.15237933609726614,45.07772020725388
