occ,exposure_A,exposure_B,social_share,pctl_A,pctl_B,occ_title_onetsoc2010,daioe_allapps,pctl_rank_allapps,corr_A_vs_DAIOE,corr_B_vs_DAIOE
43-4151.00,18.027055172964033,13.743847912896362,0.15582271017596827,31.191709844559586,26.321243523316063,Order Clerks,36.481155,67.029999,0.21563178692020205,0.19664967078260237
39-9011.00,18.02079345272093,13.366496620234425,0.1741030939042304,31.088082901554404,24.559585492227978,Childcare Workers,30.521702,43.84,0.21563178692020205,0.19664967078260237
17-3012.02,17.994242265155982,15.00793556886559,0.0994909220721061,30.984455958549223,33.98963730569948,Electrical Drafters,48.61343,98.709999,0.21563178692020205,0.19664967078260237
21-1092.00,17.959017226084825,12.053716679855107,0.2449576633943541,30.88082901554404,18.031088082901555,Probation Officers and Correctional Treatment Specialists,30.189386,41.459999,0.21563178692020205,0.19664967078260237
49-3053.00,17.943991423224446,15.477251043021607,0.0796892281887178,30.77720207253886,38.54922279792746,Outdoor Power Equipment and Other Small Engine Mechanics,29.396795,35.970001,0.21563178692020205,0.19664967078260237
27-2031.00,17.92673356743905,13.622621926167751,0.15797662390539932,30.673575129533678,25.803108808290155,Dancers,15.661506,0.050000001,0.21563178692020205,0.19664967078260237
27-1026.00,17.91978904001636,14.515352912535336,0.11727018102815068,30.569948186528496,30.466321243523318,Merchandise Displayers and Window Trimmers,27.914513,27.379999,0.21563178692020205,0.19664967078260237
51-6091.00,17.834507785260485,15.134093764506817,0.08921624455264068,30.466321243523318,34.92227979274612,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",26.20495,16.610001,0.21563178692020205,0.19664967078260237
51-9195.05,17.824209609416346,15.624171264500294,0.07040496125112129,30.362694300518136,40.0,"Potters, Manufacturing",28.594677,31.0,0.21563178692020205,0.19664967078260237
51-9023.00,17.822687030343275,15.39158307551957,0.07897511071133398,30.259067357512954,38.031088082901555,"Mixing and Blending Machine Setters, Operators, and Tenders",27.859535,26.76,0.21563178692020205,0.19664967078260237
49-2098.00,17.817018508501352,14.976735999472142,0.09482314801867765,30.155440414507773,33.78238341968912,Security and Fire Alarm Systems Installers,30.09601,40.84,0.21563178692020205,0.19664967078260237
51-7032.00,17.808714332313652,16.30685957857509,0.0460497849540505,30.05181347150259,44.55958549222798,"Patternmakers, Wood",28.798979,32.759998,0.21563178692020205,0.19664967078260237
51-4033.00,17.804404272318283,16.120516552162332,0.05222809438851641,29.94818652849741,42.7979274611399,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",28.773838,32.560001,0.21563178692020205,0.19664967078260237
13-2021.02,17.72842058112096,15.194205459381287,0.08339413102298761,29.844559585492227,35.64766839378238,"Appraisers, Real Estate",45.993065,96.949997,0.21563178692020205,0.19664967078260237
23-2011.00,17.72080260667632,14.30871189511389,0.11923123257263932,29.740932642487046,28.911917098445596,Paralegals and Legal Assistants,46.156013,97.260002,0.21563178692020205,0.19664967078260237
43-4061.00,17.71307478139204,13.072981078789779,0.17746884488843065,29.637305699481864,23.00518134715026,"Eligibility Interviewers, Government Programs",39.253609,77.690002,0.21563178692020205,0.19664967078260237
47-2044.00,17.709282733041192,14.176518935615741,0.12459912808884521,29.533678756476682,28.29015544041451,Tile and Marble Setters,25.128649,11.54,0.21563178692020205,0.19664967078260237
31-1011.00,17.698900594895363,13.050536825786118,0.1780909027406712,29.430051813471504,22.901554404145077,Home Health Aides,26.188599,16.51,0.21563178692020205,0.19664967078260237
51-9193.00,17.69753374276496,15.015631151396487,0.08930369174388818,29.326424870466322,34.09326424870466,Cooling and Freezing Equipment Operators and Tenders,27.735653,26.35,0.21563178692020205,0.19664967078260237
35-3011.00,17.694817751007882,13.180942786626623,0.17122731800949142,29.22279792746114,23.83419689119171,Bartenders,25.403524,13.2,0.21563178692020205,0.19664967078260237
49-3091.00,17.681721671478833,13.851243616169986,0.13827199064050585,29.11917098445596,26.94300518134715,Bicycle Repairers,26.640572,19.309999,0.21563178692020205,0.19664967078260237
53-3022.00,17.677130869652267,14.973134777668367,0.09029492261088726,29.015544041450777,33.67875647668394,"Bus Drivers, School or Special Client",30.887108,46.43,0.21563178692020205,0.19664967078260237
49-9098.00,17.663296489741615,15.162144902329008,0.08248013732636246,28.911917098445596,35.44041450777202,"Helpers--Installation, Maintenance, and Repair Workers",25.406105,13.3,0.21563178692020205,0.19664967078260237
43-4181.00,17.657925693332064,12.797630326441912,0.18989044232853092,28.808290155440414,21.761658031088082,Reservation and Transportation Ticket Agents and Travel Clerks,29.010115,33.900002,0.21563178692020205,0.19664967078260237
51-9071.06,17.612145330728094,15.169091882663208,0.0805273468894027,28.704663212435232,35.5440414507772,Gem and Diamond Workers,38.055408,72.93,0.21563178692020205,0.19664967078260237
51-9191.00,17.610903752688074,15.440223560780206,0.07029302986977543,28.60103626943005,38.3419689119171,Adhesive Bonding Machine Operators and Tenders,24.719791,9.1599998,0.21563178692020205,0.19664967078260237
51-5113.00,17.606527326475245,14.94267703327699,0.0891356444118387,28.497409326424872,33.16062176165803,Print Binding and Finishing Workers,27.908754,27.17,0.21563178692020205,0.19664967078260237
51-4111.00,17.58655384413887,16.00178918815512,0.049518358145751264,28.39378238341969,42.27979274611399,Tool and Die Makers,34.938931,61.75,0.21563178692020205,0.19664967078260237
49-2021.00,17.568891694864693,14.687638624429026,0.09808428516356124,28.29015544041451,32.2279792746114,"Radio, Cellular, and Tower Equipment Installers and Repairers",28.644352,31.629999,0.21563178692020205,0.19664967078260237
