occ_code_onet,aei_usage
37-2021.00,0.0020541557625231
37-3011.00,0.0022595713387754
37-3013.00,0.0122222267870128
39-1011.00,0.0230065445402594
39-1021.00,0.0198226031083483
39-1021.01,0.15139127969795668
39-2011.00,0.0015406168218923
39-2021.00,0.0034920647962893
39-3031.00,0.015303460430797501
39-3091.00,0.0183846940745822
39-3092.00,0.015816999371428102
39-3093.00,0.015611583795176
39-4021.00,0.0063678828638217
39-4031.00,0.01910364859146535
39-5011.00,0.0088328697788494
39-5012.00,0.0072922529569571
39-5091.00,0.035947725844155
39-5092.00,0.0026704024912801
39-5093.00,0.0063678828638217
39-5094.00,0.0076003763213355995
39-6011.00,0.0200280186846008
39-6012.00,0.049094322724303405
39-7011.00,0.0667600622820026
39-7012.00,0.0476564136905372
39-9011.00,0.024341745785899302
39-9011.01,0.0126330579395173
39-9021.00,0.042212900919850804
39-9031.00,0.013968259185157199
39-9032.00,0.0018487401862708
39-9041.00,0.0403641607335799
41-1011.00,0.038720836123561406
41-1012.00,0.0140709669732836
41-2011.00,0.2548180223409979
41-2021.00,0.1629972597562126
41-2022.00,0.0327637844122443
41-2031.00,0.1205789432601094
41-3011.00,0.0615219650875683
41-3021.00,0.0423156087079769
41-3031.01,0.2762839500593645
41-3031.02,0.0165359538883112
41-3031.03,0.1538562666129841
41-3041.00,0.016946785040815898
41-3099.01,0.0091409931432279
41-4011.00,0.2142484460311653
41-4011.07,0.021363219930240603
41-4012.00,0.11924374201446909
41-9011.00,0.0701494192901656
41-9012.00,0.0036974803725416004
41-9021.00,0.066657354493876
41-9022.00,0.1469748448085315
41-9031.00,0.07446314639146401
41-9041.00,0.0401587451573277
41-9091.00,0.019309064167717598
43-1011.00,0.14317465664786388
43-2011.00,0.2711485606530571
43-2021.00,0.0056489283469385995
43-3011.00,0.0198226031083482
43-3021.02,0.029887966344711702
43-3031.00,0.1132866903031518
43-3041.00,0.0115032722701296
43-3051.00,0.016741369464563602
43-3061.00,0.0087301619907232
43-3071.00,0.0116059800582557
43-4011.00,0.0087301619907233
43-4021.00,0.28737639117698993
43-4031.01,0.0409804074623369
43-4031.02,0.0467320435974016
43-4031.03,0.0277311027940625
43-4041.01,0.0056489283469386
43-4041.02,0.0430345632248601
43-4051.00,0.0654248610363625
43-4051.03,0.0767227177302398
43-4061.00,0.0514566018512049
43-4071.00,0.08103644483153849
43-4081.00,0.015200752642671199
43-4111.00,0.188057960058995
43-4121.00,0.12232497565825405
43-4131.00,0.0236227912690162
43-4141.00,0.0016433246100185
43-4151.00,0.012427642363265
43-4161.00,0.0719981594764365
43-4171.00,0.1587862404430399
43-4181.00,0.1161625083706844
43-5011.00,0.0036974803725416
43-5011.01,0.0465266280211491
43-5021.00,0.0121195189988866
43-5031.00,0.0264986093365486
43-5032.00,0.0029785258556585
43-5051.00,0.0020541557625231
43-5061.00,0.0252661158790348
43-5071.00,0.0063678828638217
43-5081.01,0.0045191426775509
43-5081.03,0.001951447974397
43-5111.00,0.027936518370314897
43-6011.00,0.191241901490906
43-6012.00,0.0180765707102036
43-6013.00,0.0499159850293124
43-6014.00,0.5626332633550931
43-9011.00,0.5051169020044449
43-9021.00,0.010476194388868
43-9022.00,0.38967334815064314
43-9031.00,0.1833334018051917
43-9041.01,0.016946785040815898
43-9041.02,0.0690196336207777
43-9061.00,0.8189919025179837
43-9071.00,0.041391238614841494
43-9081.00,0.0334827389291274
43-9111.00,0.3645099400597346
43-9111.01,1.4651265976196437
45-2011.00,0.024239037997773098
45-2021.00,0.0020541557625231
45-2092.01,0.0618300884519471
45-2092.02,0.0045191426775509
45-2093.00,0.001951447974397
47-1011.00,0.0168440772526897
47-1011.03,0.0101680710244895
47-2031.01,0.0146872137020405
47-2044.00,0.0083193308382188
47-2051.00,0.0138655513970313
47-2081.00,0.018795525227086798
47-2111.00,0.0067787140163264
47-2121.00,0.0048272660419293
47-2141.00,0.004211019313172399
47-2152.01,0.0245471613621517
47-2152.02,0.0185901096508344
47-2181.00,0.0017460323981446
47-2211.00,0.0044164348894247
47-2231.00,0.0187955252270866
47-3011.00,0.0021568635506493
47-4011.00,0.024855284726530102
47-4021.00,0.0023622791269016
47-4041.00,0.0035947725844155
47-4071.00,0.0036974803725416
47-4099.03,0.0051353894063079
47-5013.00,0.0204388498371054
49-1011.00,0.022698421175880702
49-2011.00,0.1488235849948026
49-2022.00,0.010578902176994101
49-2091.00,0.009859947660111
49-2092.00,0.011400564482003401
49-2093.00,0.0539215887662328
49-2094.00,0.0155088760070497
49-2095.00,0.0100653632363634
49-2096.00,0.0078057918975879
49-2097.00,0.0628571663332085
49-2098.00,0.029374427404081
49-3011.00,0.0063678828638217
49-3023.01,0.0077030841094618
49-3023.02,0.0025676947031539
49-3031.00,0.0080112074738403
49-3042.00,0.0058543439231909
49-3052.00,0.0023622791269016
49-9021.01,0.005238097194434
49-9021.02,0.003902895948794
49-9031.00,0.0046218504656771
